"","control1","control2","control3","benz1","benz2","benz3","chlorhex1","chlorhex2","chlorhex3","perox1","perox2","perox3","tric1","tric2","tric3"
"arnD",10.6529031666084,9.77097845224951,10.3581379012698,11.5134782140292,11.9167648223348,10.9323759188239,11.0755209486372,10.2733269259628,10.4506940689639,10.2074961131791,11.4209365452764,11.760918016778,11.5175573468593,11.1272560646875,12.095109296228
"bioB",11.290453937171,11.3963175591467,11.5501611069289,11.3423564700628,10.8598720018177,11.4882060958592,11.2375786189708,11.5296422998019,11.1639822583076,11.7408360950587,12.1209202640096,12.0758613409381,12.5364936214807,12.4058577093875,12.6910807010828
"bioA",8.44529139326184,8.10035215580046,8.44846667710466,8.40898872961339,8.02192386120314,8.29284217441874,8.22324455772655,8.36716185422432,8.18027322074595,8.59015428472098,9.28390367610015,9.41222155185862,10.108509052163,9.87575364789014,10.1393151329056
"bioF",9.70843028866484,9.12641529613242,9.62051348116599,9.35872522657975,9.19849280418152,9.43835991734186,9.384095781416,8.82886045490622,8.92040407670362,9.69383604653227,10.3766704620659,10.3851648183668,11.0802260207528,10.6190115294395,11.1542246085069
"ybiB",11.3575495229603,11.1963464937923,11.0908678473065,11.4635430089045,11.3525771260076,11.1969280571394,11.3788119837125,11.5499749706698,11.1269218552592,11.1595106567151,10.9531945322014,10.8566546212365,9.2281673554931,11.1707360077454,10.200850348456
"pspC",10.2855989283456,10.2350514044526,10.2822132020651,10.9891046449074,10.9544760547473,10.9957649291846,10.3766309266369,10.4933993171346,10.1645727326697,10.5118273303171,10.5506035585381,10.4080397543299,10.5312363674439,11.0903863511783,12.2691915604859
"pyrD",8.73254540585572,7.85095150434646,8.28047458672234,9.92651588435843,9.8393629194315,9.66386623989867,9.16873646672349,9.22199066809679,8.37886023118751,8.16728046482147,8.37811641221589,8.92724330975352,9.09005757989556,9.58617670572998,10.9855160474134
"csgF",9.0869458091615,8.31858866421254,7.82989422558628,8.09004074270583,8.17692537848879,8.07045591574366,8.90923310474131,8.71155987796513,8.53182815654137,8.07471063751368,7.27501680461711,7.25887019126504,6.50421817807848,7.05073386800609,7.20002675656848
"opgH",10.6330493013897,10.0005913716571,10.2744668554338,11.0478030698787,11.2232266892369,10.7721663862275,10.685042071866,10.2308128460535,10.1072314197574,10.0082582832965,10.9869371738336,11.3347326512672,11.1819019731402,11.1293865799954,11.7064844414508
"ptsG",11.7386571202202,11.5154352302083,12.1463126607766,11.9429142311266,11.8807115967617,11.6735720963475,11.8342265161187,11.622232238752,11.6577481355494,10.9052069535466,12.2931623329319,12.8742106294824,13.2787003936793,12.3419409154932,13.5195286360253
"purB",12.2987315678022,12.0854684877209,12.6299843568551,12.5856663535616,12.5856663535616,12.5856663535616,12.3027188365703,12.2768500745084,12.0967809571762,12.3871834108791,13.0767828481159,13.3076271049029,13.4384644459893,13.4461238857088,13.4486531322054
"csgE",9.2739629647331,9.01836699881018,8.6722352644753,8.60603544031201,8.67480727043441,8.6725965537092,9.3301200041284,9.13823651567452,9.17728160798029,8.86924500946321,8.17035100497719,8.01945943125937,7.30279760950465,7.96485044992428,8.01009115453112
"rnb",11.5505732148193,11.0488096280663,11.1004136709382,11.8864362072466,12.1080262641701,11.5138951948685,11.6216530179805,11.1693305507439,11.2455456829194,10.8318247299036,11.6401876476101,12.1884999437412,12.7457866184398,12.1986727112884,13.1611363347587
"mdtK",12.3132313430618,12.0757831873413,11.938953837393,11.9875703398627,11.8916504856872,12.0732219353367,12.1759837956235,12.1697001963525,12.0402881747694,12.0666966562598,11.8763794631377,11.1330537441105,10.6120900795813,11.8874727803001,9.37552669468867
"pspA",11.262718640575,11.1427577738058,11.4402198041683,12.126752224097,12.0426661175133,11.9195634711693,11.1919098206928,11.3394021450646,11.0325942006155,11.5060904177414,11.7177565987901,11.6993391361107,11.8521233354742,12.3002368556798,13.4457179067698
"pspB",10.5957749352674,10.3899384337449,10.6507991654322,11.1913180907362,11.1017978162319,11.0405551795621,10.486355684819,10.6265764641378,10.2323261391204,10.6944530956415,10.8007993960876,10.77707982221,10.8794820188341,11.4354399688146,12.604454511353
"rzpD",6.45814553260032,5.89557218010456,6.31805767916411,7.28238140969446,6.26421183831907,6.44687094790784,6.89311695210781,7.5149301112763,7.0855244532023,9.16512614689976,9.18960329770653,9.43226204752404,5.94047517013374,6.61281505126482,7.71557843161838
"fdnG",7.60103603087711,7.53247044522701,8.58801707885739,9.49169483223785,9.68201781673739,9.77618947383229,8.35951357593515,9.00811563076084,8.4906605818483,7.48577736542219,8.04265755567116,8.22911608211005,7.28070319871888,9.0182184414576,8.18726010629463
"fdnI",8.66971027699189,8.27300488259121,8.79580337403442,9.58954974350741,9.79157129199834,9.77021145308461,8.6769310908615,8.67868402267271,8.80329153667265,8.54417308976389,8.34774741018997,8.24962920484144,8.80329153667265,9.03136347249993,8.48062498004103
"rsxD",8.43406191640742,7.79562420859041,7.64915462721322,8.28470640365149,8.58325610191561,7.84029885561978,8.07599635162301,7.43511995596077,7.59003847453504,7.40685363120365,8.19922004159219,8.44151168850105,9.14735817469496,8.69060881972722,9.3934832166616
"rsxG",8.75997407882452,7.378589354672,8.26348380934326,8.79295450486533,9.13976467031173,8.36621391170518,8.66485530871304,8.05879048167718,8.01263195157068,7.81981852450335,9.25937325508964,9.25605656574653,9.33684746961522,9.6786715152069,9.93825212731049
"ydhR",12.050912763359,12.1909627376584,11.8566069092032,12.1250922970588,12.0896548371215,12.1095836971477,12.2808570167002,12.4753501131243,12.2158852475218,11.9503676029186,11.3964439110017,11.3437235295857,10.1351089297337,11.8916063251384,10.9927399438207
"pykF",11.5197656528879,11.2165908416769,11.6716062509658,12.1031654598159,12.1906419269052,11.9706256049996,11.5995543636893,11.4179204397134,11.4332889824688,11.8702471135025,12.6618033433542,13.1317727318784,13.1577780442865,12.2262680528009,13.4541718419127
"tcyP",8.90255881709678,8.7323591117506,9.00084667675732,10.6797660750993,13.3575901499326,9.27785469815974,10.205098682062,9.14762193724333,8.56618990195269,10.5094467845547,10.0869872906894,11.0764334323526,11.496819226856,10.4084887932145,11.865252543011
