"","control1","control2","control3","benz1","benz2","benz3","chlorhex1","chlorhex2","chlorhex3","perox1","perox2","perox3","tric1","tric2","tric3"
"1761196_s_at",6.97725218712568,6.80015724188066,6.66959249389592,7.03384354106005,7.19788831883884,7.09386380080565,6.97699141337421,7.55924790107532,6.76166190692388,7.33793488915103,7.73858178818064,7.48162223683697,6.84628726556735,7.39549005507229,7.14831352411728
"1765765_s_at",6.78452857175101,6.59119732266105,6.72033511072696,7.19218636116423,6.48040482174932,6.74721737868494,6.86437528890335,7.471695131422,6.89241977347226,6.57292143712282,7.19725501181158,7.81912625748124,7.04366126451233,7.08215617297532,7.52794158259064
"1769063_s_at",6.11478168250112,5.96294110383944,6.22423510712931,6.72178742374496,5.87048726050888,5.94035651443497,6.48339307355949,7.23342391085879,7.10677573587645,6.18470899650729,6.14687063088321,6.99252122215329,5.92568270257643,5.91999837030453,6.69236519386682
"1761624_s_at",10.4407198266756,10.4526418126911,10.6996703954353,10.5874226398252,10.5884620790888,10.6765473520202,10.6947002698485,10.9419684449303,10.523871340952,10.6131437475065,10.824934301769,10.9556936958241,10.1571059715511,10.9899599644868,11.306962381921
"1759504_s_at",8.38141694321354,8.15040912140003,8.14442995162338,8.79825962174571,9.15508782164202,8.40240052989454,8.41074759468419,7.92693160653267,7.5505445324624,8.16086755629151,8.4896346458124,8.77369305993034,8.78112268745851,8.55021646580444,9.8774664846071
"1764532_s_at",10.6690702230473,10.8168037988915,11.1661264581844,10.8486272763933,10.7627886391654,11.0533196720345,10.619799095831,11.1992820796021,10.9312228003569,11.1843590331114,11.3909641160162,11.5361943723175,11.0064092907005,11.4952265922896,11.2600067792248
"1762951_s_at",7.32663248224436,6.84956310990689,7.06031680397501,7.85237992343921,7.27359399668013,7.31526844973078,7.59561804506838,8.21450160374996,7.81318631688097,7.33840334815516,6.99327039421796,7.6425924593819,6.9664448469544,7.00045642713126,8.1910429026587
"1760140_s_at",8.97867985781417,8.79296799473485,9.13966480637341,9.27776742503924,9.17469050861832,9.24469743599717,9.13639323100247,9.39058374937458,8.80645344969095,9.17469050861832,9.48330035027239,9.51389356089702,8.29183173199429,9.74223720762347,9.05521840827114
"1763902_s_at",10.1430194108842,10.1113580956366,10.3113553000716,10.0451034779996,9.83211201492829,10.1632913130674,10.1434654223254,10.2392452160478,10.0842626209009,10.3551585747176,10.3895647936595,10.4059400913688,9.4608907268121,10.4507808765615,9.50276021784529
"1768021_x_at",7.92951780703942,7.99989884160864,7.9617993123964,7.50557242436974,7.86355279190856,7.57179239710372,7.48392611193747,7.08396824673421,6.84479665842122,7.68232587872711,7.62638595937431,7.16757267145369,8.84075483453465,7.76158939428316,6.80191150283296
"1764930_s_at",8.20020939130151,9.36176058721001,8.73002315058241,7.84722969409624,8.42478260344222,8.57167038276577,8.27936940967903,8.44369096062437,9.30838879426398,8.72776182227239,8.76552979893695,8.53824533694897,9.52664579249981,8.22423883749547,8.7288192981826
"1764983_s_at",10.8006054168777,11.1796749164557,11.5226837202716,11.2860690653097,11.3204854706052,11.2909035694252,11.3505507825218,10.3643205698355,11.1127366539804,11.413813674591,11.796756328544,11.8119080063212,11.9454463435873,11.6876731801117,12.4154334755876
