"","control1","control2","control3","benz1","benz2","benz3","chlorhex1","chlorhex2","chlorhex3","perox1","perox2","perox3","tric1","tric2","tric3"
"1759078_at",7.30206692711691,7.16446501591741,8.31698364713218,7.71612909610203,7.45589019718665,8.35232876309677,7.70949252686713,7.64426742720648,8.23415243976524,7.72305451745235,7.76489262567333,8.57928140620813,6.82022628287225,7.47606510054375,8.46957478335823
"1759079_at",9.3250604518758,9.18631364039783,9.3430470100612,8.82979857055837,8.76119199881061,8.85275980101953,9.42137437954867,9.42239457200362,9.11463131773617,9.10380155240539,9.05344988114893,9.34186815899071,8.05912885417273,8.80437242196851,8.5944807390242
"1759080_s_at",10.2918965973009,9.65894755763707,9.52312009006055,10.6335594788742,10.7543911309454,10.1802498331244,10.3110852725068,9.91561473867083,9.96811534154672,9.39810043588586,9.91131485374581,10.5738068356688,9.90161969142734,9.23609523496977,10.8718305101839
"1759081_s_at",5.98607550774644,6.1122955304603,6.03451873320588,6.01768101643836,5.9286635667494,6.03013197271891,5.9638275155262,5.98607550774644,5.98607550774644,6.11794574235398,5.9040756262605,5.96950871381551,5.77972283534791,5.96843095465169,6.01297090327946
"1759082_s_at",5.99551706815662,6.10353722089416,5.95274837554488,5.95151421680759,5.97883216988519,6.01441710410193,5.92771222118768,6.01433351921789,5.8415886769185,6.04461420509821,6.06427847610944,5.99551706815662,6.31337979413234,6.12432513939207,6.0536043358662
"1759083_at",6.847390188798,7.05195537328336,6.92744615298101,6.67961602436382,6.92641516851284,6.80684828442925,6.81594994001562,6.81812763001424,6.63027876830254,7.06140275614022,6.84101599680131,6.79706639657503,7.00340961887561,6.82908768976485,6.5270169167751
"1759084_s_at",8.30261511494612,7.56332330508738,8.26186363503029,8.49162193185005,8.3960089802739,8.20865099651857,8.29228326828028,8.31874343018973,8.12345293364521,7.9936330991478,8.43010452718727,8.79447172297663,8.27257570549978,8.24846210655198,8.9289278732
"1759085_at",9.80465374768333,9.0932484411837,9.55119153831732,9.67106591385767,9.59576072641748,9.60100085685814,9.64430526926846,9.61795942676564,9.59358959324678,9.59576072641748,9.76728718936128,9.46502447489916,8.72000897169976,9.58959906448581,9.34827593655993
"1759086_s_at",5.88369699555668,6.05030761932238,5.90387550239511,5.83176838255076,5.92256948033109,5.91784054762622,5.81014374903219,5.90387550239511,5.89300478841761,5.90918491081349,5.9168425352639,5.88669441148046,5.98629796645739,6.04380921335424,5.8856853821
"1759087_s_at",6.29930812447463,6.70127540374845,6.65295231258971,6.51547351633522,6.64571779165624,6.60008697623295,6.43339589054794,6.57264138328218,6.87253317033819,6.62766459051705,6.95154606454589,6.45444205895766,6.64688134816595,6.47200496990663,6.65238797122256
